Carte;Vannes/Etat;Etat initial;PORT GPIO
CACEHP;valve1;0;5
CACEHP;valve2;0;6
CACEHP;valve3;0;19
CACEHP;valve4;0;26
CACEHP;valve5;;
CACEHP;valve6;;
CACEHP;valve7;;
CACEHP;valve8;;
CACEHP;valve9;;
CACEHP;valve10;;
CACEHP;valve11;;
CACEHP;valve12;;
